epoch	train_loss	dev_loss	dev_uuas
0	0.986641	0.933233	0.6604
1	0.945238	0.928910	0.6668
2	0.942416	0.928757	0.6590
3	0.942091	0.923437	0.6624
4	0.941724	0.929553	0.6586
5	0.856032	0.835823	0.7497
6	0.837091	0.827888	0.7543
7	0.833458	0.827868	0.7553
8	0.821503	0.821366	0.7604
9	0.819267	0.820584	0.7594
10	0.818659	0.820088	0.7608
11	0.818312	0.819897	0.7607
12	0.818093	0.819720	0.7601
13	0.817908	0.819953	0.7601
14	0.816174	0.819783	0.7603
15	0.815895	0.819773	0.7603
16	0.815868	0.819772	0.7603
17	0.815867	0.819771	0.7603
