epoch	relation	uuas	correct	total
0	acomp	0.8125	39	48
0	advcl	0.1433	42	293
0	advmod	0.6983	891	1276
0	amod	0.7302	1830	2506
0	appos	0.5362	148	276
0	aux	0.6806	844	1240
0	auxpass	0.8287	237	286
0	cc	0.4477	449	1003
0	ccomp	0.5407	299	553
0	conj	0.5084	513	1009
0	cop	0.6727	222	330
0	csubj	0.6667	10	15
0	csubjpass	0.0000	0	1
0	dep	0.4592	259	564
0	det	0.7607	2531	3327
0	discourse	0.5714	4	7
0	dobj	0.7532	1233	1637
0	expl	0.8125	26	32
0	iobj	0.7222	13	18
0	mark	0.5202	219	421
0	mwe	1.0000	51	51
0	neg	0.6030	120	199
0	nn	0.7091	2289	3228
0	npadvmod	0.6931	131	189
0	nsubj	0.6845	1903	2780
0	nsubjpass	0.6957	176	253
0	num	0.7997	918	1148
0	number	0.8103	363	448
0	parataxis	0.3214	18	56
0	pcomp	0.7933	165	208
0	pobj	0.6830	2558	3745
0	poss	0.5614	398	709
0	possessive	0.2894	123	425
0	preconj	0.2727	3	11
0	predet	0.3571	5	14
0	prep	0.7100	2686	3783
0	prt	0.8707	101	116
0	quantmod	0.5052	97	192
0	rcmod	0.3345	97	290
0	tmod	0.5902	144	244
0	vmod	0.6022	215	357
0	xcomp	0.7487	298	398
1	acomp	0.8333	40	48
1	advcl	0.1195	35	293
1	advmod	0.6904	881	1276
1	amod	0.7378	1849	2506
1	appos	0.5254	145	276
1	aux	0.7363	913	1240
1	auxpass	0.8077	231	286
1	cc	0.4257	427	1003
1	ccomp	0.5732	317	553
1	conj	0.5064	511	1009
1	cop	0.5909	195	330
1	csubj	0.6667	10	15
1	csubjpass	1.0000	1	1
1	dep	0.4397	248	564
1	det	0.7427	2471	3327
1	discourse	0.5714	4	7
1	dobj	0.7746	1268	1637
1	expl	0.8438	27	32
1	iobj	0.6111	11	18
1	mark	0.5226	220	421
1	mwe	0.9804	50	51
1	neg	0.5477	109	199
1	nn	0.7134	2303	3228
1	npadvmod	0.6931	131	189
1	nsubj	0.6917	1923	2780
1	nsubjpass	0.6561	166	253
1	num	0.8057	925	1148
1	number	0.8125	364	448
1	parataxis	0.3393	19	56
1	pcomp	0.7692	160	208
1	pobj	0.6742	2525	3745
1	poss	0.5444	386	709
1	possessive	0.3153	134	425
1	preconj	0.2727	3	11
1	predet	0.6429	9	14
1	prep	0.7150	2705	3783
1	prt	0.9310	108	116
1	quantmod	0.4167	80	192
1	rcmod	0.3276	95	290
1	tmod	0.5697	139	244
1	vmod	0.6050	216	357
1	xcomp	0.6809	271	398
2	acomp	0.8125	39	48
2	advcl	0.1365	40	293
2	advmod	0.6857	875	1276
2	amod	0.7231	1812	2506
2	appos	0.5181	143	276
2	aux	0.6952	862	1240
2	auxpass	0.8427	241	286
2	cc	0.4686	470	1003
2	ccomp	0.5407	299	553
2	conj	0.4975	502	1009
2	cop	0.6576	217	330
2	csubj	0.4667	7	15
2	csubjpass	0.0000	0	1
2	dep	0.4610	260	564
2	det	0.7541	2509	3327
2	discourse	0.5714	4	7
2	dobj	0.7947	1301	1637
2	expl	0.8750	28	32
2	iobj	0.6111	11	18
2	mark	0.5036	212	421
2	mwe	0.9608	49	51
2	neg	0.6533	130	199
2	nn	0.7110	2295	3228
2	npadvmod	0.7566	143	189
2	nsubj	0.6888	1915	2780
2	nsubjpass	0.7075	179	253
2	num	0.7814	897	1148
2	number	0.7924	355	448
2	parataxis	0.3929	22	56
2	pcomp	0.7740	161	208
2	pobj	0.7095	2657	3745
2	poss	0.5585	396	709
2	possessive	0.2918	124	425
2	preconj	0.2727	3	11
2	predet	0.7143	10	14
2	prep	0.7219	2731	3783
2	prt	0.9224	107	116
2	quantmod	0.5260	101	192
2	rcmod	0.3379	98	290
2	tmod	0.6352	155	244
2	vmod	0.6415	229	357
2	xcomp	0.7513	299	398
3	acomp	0.8750	42	48
3	advcl	0.1331	39	293
3	advmod	0.6732	859	1276
3	amod	0.7698	1929	2506
3	appos	0.5761	159	276
3	aux	0.6847	849	1240
3	auxpass	0.8147	233	286
3	cc	0.4536	455	1003
3	ccomp	0.5443	301	553
3	conj	0.5025	507	1009
3	cop	0.6424	212	330
3	csubj	0.4667	7	15
3	csubjpass	0.0000	0	1
3	dep	0.4415	249	564
3	det	0.7024	2337	3327
3	discourse	0.5714	4	7
3	dobj	0.7703	1261	1637
3	expl	0.7500	24	32
3	iobj	0.5000	9	18
3	mark	0.5154	217	421
3	mwe	0.9804	50	51
3	neg	0.6231	124	199
3	nn	0.7237	2336	3228
3	npadvmod	0.7672	145	189
3	nsubj	0.6863	1908	2780
3	nsubjpass	0.6877	174	253
3	num	0.8214	943	1148
3	number	0.7924	355	448
3	parataxis	0.3036	17	56
3	pcomp	0.7740	161	208
3	pobj	0.6967	2609	3745
3	poss	0.5910	419	709
3	possessive	0.3082	131	425
3	preconj	0.2727	3	11
3	predet	0.3571	5	14
3	prep	0.7113	2691	3783
3	prt	0.8966	104	116
3	quantmod	0.4844	93	192
3	rcmod	0.3621	105	290
3	tmod	0.5984	146	244
3	vmod	0.6359	227	357
3	xcomp	0.7437	296	398
4	acomp	0.8750	42	48
4	advcl	0.1638	48	293
4	advmod	0.7257	926	1276
4	amod	0.7941	1990	2506
4	appos	0.5906	163	276
4	aux	0.7790	966	1240
4	auxpass	0.8706	249	286
4	cc	0.5075	509	1003
4	ccomp	0.6257	346	553
4	conj	0.5134	518	1009
4	cop	0.6758	223	330
4	csubj	0.6000	9	15
4	csubjpass	0.0000	0	1
4	dep	0.4965	280	564
4	det	0.7791	2592	3327
4	discourse	0.5714	4	7
4	dobj	0.8314	1361	1637
4	expl	0.8125	26	32
4	iobj	0.6667	12	18
4	mark	0.5938	250	421
4	mwe	1.0000	51	51
4	neg	0.6583	131	199
4	nn	0.7447	2404	3228
4	npadvmod	0.8201	155	189
4	nsubj	0.7518	2090	2780
4	nsubjpass	0.7510	190	253
4	num	0.8537	980	1148
4	number	0.8549	383	448
4	parataxis	0.3393	19	56
4	pcomp	0.8365	174	208
4	pobj	0.7826	2931	3745
4	poss	0.6192	439	709
4	possessive	0.3459	147	425
4	preconj	0.2727	3	11
4	predet	0.4286	6	14
4	prep	0.7684	2907	3783
4	prt	0.9310	108	116
4	quantmod	0.5104	98	192
4	rcmod	0.4103	119	290
4	tmod	0.6639	162	244
4	vmod	0.7059	252	357
4	xcomp	0.8090	322	398
5	acomp	0.8333	40	48
5	advcl	0.1604	47	293
5	advmod	0.7273	928	1276
5	amod	0.7873	1973	2506
5	appos	0.5833	161	276
5	aux	0.7750	961	1240
5	auxpass	0.8846	253	286
5	cc	0.5224	524	1003
5	ccomp	0.6293	348	553
5	conj	0.5104	515	1009
5	cop	0.7212	238	330
5	csubj	0.6667	10	15
5	csubjpass	0.0000	0	1
5	dep	0.5106	288	564
5	det	0.7668	2551	3327
5	discourse	0.5714	4	7
5	dobj	0.8296	1358	1637
5	expl	0.8125	26	32
5	iobj	0.6667	12	18
5	mark	0.5843	246	421
5	mwe	0.9804	50	51
5	neg	0.6734	134	199
5	nn	0.7450	2405	3228
5	npadvmod	0.8730	165	189
5	nsubj	0.7475	2078	2780
5	nsubjpass	0.7510	190	253
5	num	0.8598	987	1148
5	number	0.8504	381	448
5	parataxis	0.3393	19	56
5	pcomp	0.8462	176	208
5	pobj	0.7941	2974	3745
5	poss	0.5924	420	709
5	possessive	0.3647	155	425
5	preconj	0.3636	4	11
5	predet	0.4286	6	14
