epoch	train_loss	dev_loss	dev_uuas
0	0.975758	0.943814	0.6384
1	0.958311	0.932619	0.6428
2	0.958816	0.941755	0.6315
3	0.842859	0.812580	0.7771
4	0.823133	0.810855	0.7791
5	0.819581	0.807687	0.7744
6	0.818448	0.808670	0.7769
7	0.804504	0.797390	0.7854
8	0.801729	0.796666	0.7850
9	0.801047	0.796323	0.7856
10	0.800747	0.795949	0.7857
11	0.800564	0.795832	0.7863
12	0.800410	0.795855	0.7855
13	0.798384	0.795558	0.7855
14	0.798220	0.795525	0.7855
15	0.797922	0.795514	0.7855
16	0.797890	0.795513	0.7855
17	0.797889	0.795512	0.7855
18	0.797888	0.795512	0.7855
