epoch	relation	uuas	correct	total
0	acomp	0.7917	38	48
0	advcl	0.1638	48	293
0	advmod	0.6458	824	1276
0	amod	0.7151	1792	2506
0	appos	0.4819	133	276
0	aux	0.6419	796	1240
0	auxpass	0.7168	205	286
0	cc	0.3689	370	1003
0	ccomp	0.4448	246	553
0	conj	0.5144	519	1009
0	cop	0.5788	191	330
0	csubj	0.6000	9	15
0	csubjpass	0.0000	0	1
0	dep	0.3954	223	564
0	det	0.6868	2285	3327
0	discourse	0.1429	1	7
0	dobj	0.7056	1155	1637
0	expl	0.9062	29	32
0	iobj	0.3889	7	18
0	mark	0.4157	175	421
0	mwe	1.0000	51	51
0	neg	0.4020	80	199
0	nn	0.6794	2193	3228
0	npadvmod	0.5556	105	189
0	nsubj	0.6097	1695	2780
0	nsubjpass	0.5692	144	253
0	num	0.7753	890	1148
0	number	0.7210	323	448
0	parataxis	0.2500	14	56
0	pcomp	0.7692	160	208
0	pobj	0.6144	2301	3745
0	poss	0.5317	377	709
0	possessive	0.4259	181	425
0	preconj	0.4545	5	11
0	predet	0.5000	7	14
0	prep	0.6616	2503	3783
0	prt	0.9052	105	116
0	quantmod	0.4688	90	192
0	rcmod	0.2724	79	290
0	tmod	0.5205	127	244
0	vmod	0.5014	179	357
0	xcomp	0.6106	243	398
1	acomp	0.8125	39	48
1	advcl	0.1229	36	293
1	advmod	0.6763	863	1276
1	amod	0.7271	1822	2506
1	appos	0.3841	106	276
1	aux	0.6395	793	1240
1	auxpass	0.6329	181	286
1	cc	0.3639	365	1003
1	ccomp	0.4665	258	553
1	conj	0.5104	515	1009
1	cop	0.5455	180	330
1	csubj	0.4667	7	15
1	csubjpass	1.0000	1	1
1	dep	0.3936	222	564
1	det	0.6610	2199	3327
1	discourse	0.2857	2	7
1	dobj	0.6775	1109	1637
1	expl	0.8438	27	32
1	iobj	0.7222	13	18
1	mark	0.3848	162	421
1	mwe	0.9804	50	51
1	neg	0.4070	81	199
1	nn	0.6763	2183	3228
1	npadvmod	0.4233	80	189
1	nsubj	0.6047	1681	2780
1	nsubjpass	0.6126	155	253
1	num	0.6977	801	1148
1	number	0.7254	325	448
1	parataxis	0.3036	17	56
1	pcomp	0.7452	155	208
1	pobj	0.6005	2249	3745
1	poss	0.5205	369	709
1	possessive	0.4400	187	425
1	preconj	0.3636	4	11
1	predet	0.4286	6	14
1	prep	0.6646	2514	3783
1	prt	0.9138	106	116
1	quantmod	0.4062	78	192
1	rcmod	0.2828	82	290
1	tmod	0.5697	139	244
1	vmod	0.4986	178	357
1	xcomp	0.5829	232	398
2	acomp	0.8958	43	48
2	advcl	0.1502	44	293
2	advmod	0.7422	947	1276
2	amod	0.8132	2038	2506
2	appos	0.5761	159	276
2	aux	0.7565	938	1240
2	auxpass	0.8881	254	286
2	cc	0.5374	539	1003
2	ccomp	0.6528	361	553
2	conj	0.5243	529	1009
2	cop	0.6667	220	330
2	csubj	0.5333	8	15
2	csubjpass	0.0000	0	1
2	dep	0.5035	284	564
2	det	0.7604	2530	3327
2	discourse	0.5714	4	7
2	dobj	0.8222	1346	1637
2	expl	0.8438	27	32
2	iobj	0.7222	13	18
2	mark	0.5439	229	421
2	mwe	1.0000	51	51
2	neg	0.7236	144	199
2	nn	0.7345	2371	3228
2	npadvmod	0.9048	171	189
2	nsubj	0.7590	2110	2780
2	nsubjpass	0.7747	196	253
2	num	0.8563	983	1148
2	number	0.8750	392	448
2	parataxis	0.2679	15	56
2	pcomp	0.8894	185	208
