checkpoint,relation,n_points,slope,intercept,R2,p_value,slope_se,rmse
3,acomp,2,,,,,,
3,advcl,17,-0.2244,0.6594,0.6534,8.616124463670311e-05,0.0422,0.0886
3,advmod,13,-0.2195,0.668,0.7933,4.441091447169938e-05,0.0338,0.086
3,amod,7,-0.3549,0.6745,0.9778,2.5162910344734353e-05,0.0239,0.0339
3,appos,11,-0.3128,0.7937,0.7891,0.000258655853553368,0.0539,0.1149
3,aux,5,-0.5255,0.9106,0.938,0.006682400751286122,0.078,0.0768
3,auxpass,3,-0.4526,0.9349,0.634,0.4136260709113783,0.3439,0.156
3,cc,20,-0.147,0.4297,0.7664,4.3177021374122396e-07,0.0191,0.0643
3,ccomp,25,-0.2927,0.9251,0.8148,6.833415697173232e-10,0.0291,0.0965
3,conj,21,-0.276,0.7993,0.8987,6.808169101591325e-11,0.0213,0.0615
3,cop,5,-0.3804,0.7637,0.8177,0.035053414263952774,0.1037,0.1021
3,csubj,1,,,,,,
3,dep,15,-0.2867,0.7291,0.9377,3.2648238425970978e-09,0.0205,0.0558
3,det,8,-0.2549,0.4632,0.9334,9.479612034637637e-05,0.0278,0.0448
3,discourse,0,,,,,,
3,dobj,10,-0.3296,0.8388,0.9163,1.3880979525948128e-05,0.0352,0.0726
3,expl,1,,,,,,
3,iobj,2,,,,,,
3,mark,15,-0.2837,0.6958,0.8985,7.914607537649443e-08,0.0264,0.072
3,mwe,1,,,,,,
3,neg,4,-0.5382,0.7939,0.9832,0.00843482375010729,0.0497,0.0366
3,nn,6,-0.3082,0.6475,0.6876,0.041265658958022006,0.1039,0.1256
3,npadvmod,5,-0.5292,0.9993,0.9041,0.012982449605651364,0.0995,0.098
3,nsubj,20,-0.2467,0.6644,0.8945,3.1588645865411214e-10,0.02,0.0671
3,nsubjpass,11,-0.28,0.7422,0.779,0.0003207277340730539,0.0497,0.0919
3,num,5,-0.5431,0.8622,0.8408,0.028378837992085803,0.1365,0.1344
3,number,6,-0.3351,0.5102,0.8779,0.005830461755065179,0.0625,0.0756
3,parataxis,9,-0.5457,1.3956,0.8497,0.00040785475268576075,0.0867,0.1263
3,pcomp,5,-0.4764,0.9152,0.8616,0.022842635864506734,0.1102,0.1085
