rank,relation,uuas_L0,uuas_L7,delta_uuas,total_L0
1,csubjpass,0.0000,1.0000,1.0000,1
2,det,0.4145,0.8708,0.4563,3327
3,ccomp,0.3490,0.7396,0.3906,553
4,cc,0.2622,0.6321,0.3699,1003
5,nsubjpass,0.4783,0.8221,0.3438,253
6,mark,0.3230,0.6651,0.3421,421
7,csubj,0.2000,0.5333,0.3333,15
8,pobj,0.5474,0.8619,0.3145,3745
9,poss,0.3371,0.6488,0.3117,709
10,possessive,0.5082,0.8000,0.2918,425
11,amod,0.6293,0.8532,0.2239,2506
12,nsubj,0.6058,0.8273,0.2215,2780
13,dobj,0.6707,0.8876,0.2169,1637
14,predet,0.4286,0.6429,0.2143,14
15,appos,0.4493,0.6413,0.1920,276
16,prep,0.6505,0.8321,0.1816,3783
17,advmod,0.6121,0.7923,0.1802,1276
18,prt,0.7931,0.9655,0.1724,116
19,xcomp,0.7085,0.8744,0.1659,398
20,quantmod,0.4323,0.5938,0.1615,192
21,cop,0.5879,0.7455,0.1576,330
22,tmod,0.5451,0.7008,0.1557,244
23,pcomp,0.7644,0.9135,0.1491,208
24,nn,0.6344,0.7785,0.1441,3228
25,number,0.6875,0.8304,0.1429,448
26,discourse,0.2857,0.4286,0.1429,7
27,parataxis,0.1786,0.3214,0.1428,56
28,conj,0.3548,0.4856,0.1308,1009
29,acomp,0.7917,0.9167,0.1250,48
30,vmod,0.5966,0.7171,0.1205,357
31,aux,0.7653,0.8831,0.1178,1240
32,neg,0.7487,0.8643,0.1156,199
33,num,0.8084,0.9077,0.0993,1148
34,dep,0.4167,0.5142,0.0975,564
35,npadvmod,0.8519,0.9312,0.0793,189
36,mwe,0.9216,1.0000,0.0784,51
37,rcmod,0.4000,0.4759,0.0759,290
38,auxpass,0.8811,0.9476,0.0665,286
39,preconj,0.2727,0.2727,0.0000,11
40,iobj,0.8333,0.8333,0.0000,18
41,advcl,0.1570,0.1536,-0.0034,293
42,expl,0.9375,0.8750,-0.0625,32
