epoch	relation	uuas	correct	total
0	acomp	0.0417	2	48
0	advcl	0.0785	23	293
0	advmod	0.0768	98	1276
0	amod	0.1153	289	2506
0	appos	0.1123	31	276
0	aux	0.0597	74	1240
0	auxpass	0.0909	26	286
0	cc	0.0708	71	1003
0	ccomp	0.0723	40	553
0	conj	0.1110	112	1009
0	cop	0.1000	33	330
0	csubj	0.2000	3	15
0	csubjpass	0.0000	0	1
0	dep	0.1206	68	564
0	det	0.0634	211	3327
0	discourse	0.2857	2	7
0	dobj	0.0788	129	1637
0	expl	0.0938	3	32
0	iobj	0.0556	1	18
0	mark	0.0499	21	421
0	mwe	0.0980	5	51
0	neg	0.1407	28	199
0	nn	0.1056	341	3228
0	npadvmod	0.0317	6	189
0	nsubj	0.0957	266	2780
0	nsubjpass	0.0870	22	253
0	num	0.1106	127	1148
0	number	0.1540	69	448
0	parataxis	0.1607	9	56
0	pcomp	0.0817	17	208
0	pobj	0.0702	263	3745
0	poss	0.0719	51	709
0	possessive	0.2259	96	425
0	preconj	0.1818	2	11
0	predet	0.1429	2	14
0	prep	0.0571	216	3783
0	prt	0.0259	3	116
0	quantmod	0.0729	14	192
0	rcmod	0.0793	23	290
0	tmod	0.0697	17	244
0	vmod	0.0672	24	357
0	xcomp	0.0653	26	398
1	acomp	0.0417	2	48
1	advcl	0.0717	21	293
1	advmod	0.0713	91	1276
1	amod	0.1129	283	2506
1	appos	0.1341	37	276
1	aux	0.0548	68	1240
1	auxpass	0.0804	23	286
1	cc	0.0618	62	1003
1	ccomp	0.0687	38	553
1	conj	0.1179	119	1009
1	cop	0.0939	31	330
1	csubj	0.0667	1	15
1	csubjpass	0.0000	0	1
1	dep	0.1259	71	564
1	det	0.0556	185	3327
1	discourse	0.2857	2	7
1	dobj	0.0770	126	1637
1	expl	0.0625	2	32
1	iobj	0.0556	1	18
1	mark	0.0546	23	421
1	mwe	0.0588	3	51
1	neg	0.1759	35	199
1	nn	0.1047	338	3228
1	npadvmod	0.0212	4	189
1	nsubj	0.0946	263	2780
1	nsubjpass	0.0949	24	253
1	num	0.1054	121	1148
1	number	0.1607	72	448
1	parataxis	0.1250	7	56
1	pcomp	0.0577	12	208
1	pobj	0.0521	195	3745
1	poss	0.0748	53	709
1	possessive	0.2071	88	425
1	preconj	0.1818	2	11
1	predet	0.1429	2	14
1	prep	0.0529	200	3783
1	prt	0.0259	3	116
1	quantmod	0.0573	11	192
1	rcmod	0.0724	21	290
1	tmod	0.0697	17	244
1	vmod	0.0588	21	357
1	xcomp	0.0528	21	398
2	acomp	0.0417	2	48
2	advcl	0.0819	24	293
2	advmod	0.0737	94	1276
2	amod	0.1133	284	2506
2	appos	0.1051	29	276
2	aux	0.0532	66	1240
2	auxpass	0.0839	24	286
2	cc	0.0598	60	1003
2	ccomp	0.0705	39	553
2	conj	0.1298	131	1009
2	cop	0.1242	41	330
2	csubj	0.1333	2	15
2	csubjpass	0.0000	0	1
2	dep	0.1206	68	564
2	det	0.0460	153	3327
2	discourse	0.2857	2	7
2	dobj	0.0770	126	1637
2	expl	0.0625	2	32
2	iobj	0.0556	1	18
2	mark	0.0475	20	421
2	mwe	0.0392	2	51
2	neg	0.1759	35	199
2	nn	0.1047	338	3228
2	npadvmod	0.0212	4	189
2	nsubj	0.0917	255	2780
2	nsubjpass	0.1028	26	253
2	num	0.1071	123	1148
2	number	0.1562	70	448
2	parataxis	0.0893	5	56
2	pcomp	0.0433	9	208
2	pobj	0.0550	206	3745
2	poss	0.0790	56	709
2	possessive	0.2165	92	425
2	preconj	0.1818	2	11
2	predet	0.2857	4	14
2	prep	0.0505	191	3783
2	prt	0.0172	2	116
2	quantmod	0.0521	10	192
2	rcmod	0.0621	18	290
2	tmod	0.0861	21	244
2	vmod	0.0672	24	357
2	xcomp	0.0704	28	398
3	acomp	0.0417	2	48
3	advcl	0.0751	22	293
3	advmod	0.0729	93	1276
3	amod	0.1109	278	2506
3	appos	0.1123	31	276
3	aux	0.0548	68	1240
3	auxpass	0.0804	23	286
3	cc	0.0638	64	1003
3	ccomp	0.0669	37	553
3	conj	0.1308	132	1009
3	cop	0.1182	39	330
3	csubj	0.1333	2	15
3	csubjpass	0.0000	0	1
3	dep	0.1223	69	564
3	det	0.0457	152	3327
3	discourse	0.2857	2	7
3	dobj	0.0782	128	1637
3	expl	0.0625	2	32
3	iobj	0.0556	1	18
3	mark	0.0451	19	421
3	mwe	0.0392	2	51
3	neg	0.1759	35	199
3	nn	0.1041	336	3228
3	npadvmod	0.0212	4	189
3	nsubj	0.0950	264	2780
3	nsubjpass	0.0988	25	253
3	num	0.1080	124	1148
3	number	0.1585	71	448
3	parataxis	0.0893	5	56
3	pcomp	0.0433	9	208
3	pobj	0.0553	207	3745
3	poss	0.0790	56	709
3	possessive	0.2212	94	425
3	preconj	0.1818	2	11
3	predet	0.2857	4	14
3	prep	0.0481	182	3783
3	prt	0.0172	2	116
3	quantmod	0.0521	10	192
3	rcmod	0.0759	22	290
3	tmod	0.0861	21	244
3	vmod	0.0616	22	357
3	xcomp	0.0678	27	398
4	acomp	0.0417	2	48
4	advcl	0.0751	22	293
4	advmod	0.0729	93	1276
4	amod	0.1109	278	2506
4	appos	0.1123	31	276
4	aux	0.0548	68	1240
4	auxpass	0.0804	23	286
4	cc	0.0638	64	1003
4	ccomp	0.0687	38	553
4	conj	0.1298	131	1009
4	cop	0.1182	39	330
4	csubj	0.1333	2	15
4	csubjpass	0.0000	0	1
4	dep	0.1223	69	564
4	det	0.0460	153	3327
4	discourse	0.2857	2	7
4	dobj	0.0788	129	1637
4	expl	0.0625	2	32
4	iobj	0.0556	1	18
4	mark	0.0451	19	421
4	mwe	0.0392	2	51
4	neg	0.1759	35	199
4	nn	0.1044	337	3228
4	npadvmod	0.0212	4	189
4	nsubj	0.0950	264	2780
4	nsubjpass	0.0988	25	253
4	num	0.1080	124	1148
4	number	0.1585	71	448
4	parataxis	0.0893	5	56
4	pcomp	0.0433	9	208
4	pobj	0.0558	209	3745
4	poss	0.0790	56	709
4	possessive	0.2212	94	425
4	preconj	0.1818	2	11
4	predet	0.2857	4	14
4	prep	0.0484	183	3783
4	prt	0.0172	2	116
4	quantmod	0.0521	10	192
4	rcmod	0.0759	22	290
4	tmod	0.0861	21	244
4	vmod	0.0616	22	357
4	xcomp	0.0678	27	398
5	acomp	0.0417	2	48
5	advcl	0.0751	22	293
5	advmod	0.0729	93	1276
5	amod	0.1109	278	2506
5	appos	0.1123	31	276
5	aux	0.0548	68	1240
5	auxpass	0.0804	23	286
5	cc	0.0638	64	1003
5	ccomp	0.0687	38	553
5	conj	0.1298	131	1009
5	cop	0.1182	39	330
5	csubj	0.1333	2	15
5	csubjpass	0.0000	0	1
5	dep	0.1223	69	564
5	det	0.0460	153	3327
5	discourse	0.2857	2	7
5	dobj	0.0794	130	1637
5	expl	0.0625	2	32
5	iobj	0.0556	1	18
5	mark	0.0451	19	421
5	mwe	0.0392	2	51
5	neg	0.1759	35	199
5	nn	0.1044	337	3228
5	npadvmod	0.0212	4	189
5	nsubj	0.0950	264	2780
5	nsubjpass	0.0988	25	253
5	num	0.1089	125	1148
5	number	0.1585	71	448
5	parataxis	0.0893	5	56
5	pcomp	0.0433	9	208
5	pobj	0.0558	209	3745
5	poss	0.0790	56	709
5	possessive	0.2212	94	425
5	preconj	0.1818	2	11
5	predet	0.2857	4	14
5	prep	0.0484	183	3783
5	prt	0.0172	2	116
5	quantmod	0.0521	10	192
5	rcmod	0.0759	22	290
5	tmod	0.0861	21	244
5	vmod	0.0616	22	357
5	xcomp	0.0678	27	398
